date,usd_jpy,aluminum,copper,nickel,lead,tin,zinc,iron_ore
2015-05-01,123.81999969482422,223.38,779.42,1672.97,246.62,1956.8,282.53,60.3
2015-06-01,122.66999816894533,207.03,715.54,1573.27,224.42,1848.02,255.41,62.63
2015-07-01,124.0709991455078,203.41,677.02,1416.03,218.74,1869.94,248.23,52.39
2015-08-01,121.28900146484376,187.77,621.89,1259.71,206.63,1839.2,219.25,56.19
2015-09-01,119.86000061035156,190.53,625.34,1191.11,201.87,1852.24,206.19,56.95
2015-10-01,120.62725830078124,182.93,629.2,1244.49,207.49,1905.26,208.0,53.12
2015-11-01,122.83000183105467,180.3,589.57,1135.48,198.78,1811.16,194.48,46.86
2015-12-01,120.4499969482422,180.34,558.75,1048.85,205.56,1769.61,184.02,40.5
2016-01-01,121.33999633789062,179.72,542.61,1032.27,199.75,1675.47,184.48,41.88
2016-02-01,113.66000366210938,174.04,522.68,943.21,200.7,1774.25,194.34,46.83
2016-03-01,112.36599731445312,172.03,556.64,979.52,202.5,1898.72,202.45,56.2
2016-04-01,106.3499984741211,167.1,518.22,944.27,184.23,1811.43,197.32,60.92
2016-05-01,110.84100341796876,171.87,520.35,959.92,189.29,1851.82,207.17,55.13
2016-06-01,102.77799987792967,163.78,477.09,917.64,176.04,1743.8,208.25,51.98
2016-07-01,102.33200073242188,166.7,497.83,1050.22,187.76,1824.19,223.42,57.26
2016-08-01,102.86799621582033,168.63,488.79,1063.24,188.82,1895.55,234.45,60.89
2016-09-01,101.1989974975586,161.15,477.88,1031.4,197.1,1973.33,231.98,57.79
2016-10-01,104.56500244140624,174.19,494.72,1072.81,211.69,2101.73,241.7,59.09
2016-11-01,112.47000122070312,195.37,613.07,1251.67,245.25,2376.05,288.62,73.1
2016-12-01,116.88999938964844,201.96,661.64,1282.55,258.31,2478.58,311.49,80.02
2017-01-01,113.6500015258789,203.57,654.01,1133.26,254.87,2351.62,308.54,80.41
2017-02-01,112.74500274658205,209.79,669.81,1199.98,260.61,2192.49,320.82,89.44
2017-03-01,111.7760009765625,212.54,651.05,1140.64,254.95,2221.57,310.39,87.65
2017-04-01,111.302001953125,213.84,632.63,1069.53,247.16,2216.06,291.05,70.22
